Ticker,Direction,Regime,Structure,AI_Proba,Hist_WinRate,EV,Kelly_Pos,Score,Risk,Health
2327.TW,做空(Short),區間盤整,空方進場,0.5476,0.41,-0.18,0.0143,0.4926,樣本數不足 (0/10)，熱身中,KEEP
2491.TW,做空(Short),區間盤整,空方進場,0.5472,0.41,-0.18,0.0141,0.4923,樣本數不足 (0/10)，熱身中,KEEP
4585.TW,做空(Short),區間盤整,空方進場,0.5471,0.41,-0.18,0.0141,0.4923,樣本數不足 (0/10)，熱身中,KEEP
2380.TW,做空(Short),趨勢空頭,空方進場,0.547,0.47,-0.06,0.0141,0.5162,樣本數不足 (0/10)，熱身中,KEEP
6416.TW,做空(Short),區間盤整,空方進場,0.5466,0.41,-0.18,0.014,0.492,樣本數不足 (0/10)，熱身中,KEEP
6614.TW,做空(Short),區間盤整,空方進場,0.5464,0.44,-0.12,0.0139,0.5038,樣本數不足 (0/10)，熱身中,KEEP
6715.TW,做空(Short),趨勢空頭,空方進場,0.5464,0.35,-0.3,0.0139,0.4679,樣本數不足 (0/10)，熱身中,KEEP
4764.TW,做多(Long),趨勢空頭,多方進場,0.5386,0.53,0.06,0.0138,0.5352,樣本數不足 (0/10)，熱身中,KEEP
6949.TW,做空(Short),趨勢空頭,空方進場,0.5457,0.41,-0.18,0.0137,0.4914,樣本數不足 (0/10)，熱身中,KEEP
2603.TW,做空(Short),趨勢空頭,空方進場,0.5456,0.41,-0.18,0.0137,0.4913,樣本數不足 (0/10)，熱身中,KEEP
2889.TW,做空(Short),趨勢空頭,空方進場,0.5456,0.41,-0.18,0.0137,0.4914,樣本數不足 (0/10)，熱身中,KEEP
2364.TW,做多(Long),區間盤整,多方進場,0.5156,0.62,0.24,0.0137,0.5574,樣本數不足 (0/10)，熱身中,KEEP
2324.TW,做空(Short),趨勢空頭,空方進場,0.5449,0.47,-0.06,0.0135,0.515,樣本數不足 (0/10)，熱身中,KEEP
3002.TW,做空(Short),趨勢空頭,空方進場,0.5448,0.5,0.0,0.0134,0.5269,樣本數不足 (0/10)，熱身中,KEEP
2515.TW,做空(Short),趨勢空頭,空方進場,0.5448,0.44,-0.12,0.0134,0.5029,樣本數不足 (0/10)，熱身中,KEEP
9906.TW,做空(Short),區間盤整,空方進場,0.5448,0.44,-0.12,0.0134,0.5029,樣本數不足 (0/10)，熱身中,KEEP
7765.TW,做空(Short),趨勢空頭,空方進場,0.5444,0.44,-0.12,0.0133,0.5027,樣本數不足 (0/10)，熱身中,KEEP
6794.TW,做多(Long),趨勢空頭,多方進場,0.5293,0.56,0.12,0.0133,0.5416,樣本數不足 (0/10)，熱身中,KEEP
6209.TW,做多(Long),區間盤整,多方進場,0.5293,0.56,0.12,0.0133,0.5416,樣本數不足 (0/10)，熱身中,KEEP
