Ticker SYMBOL,產業類別,產業類別名稱,資料年月,單月營收年增率(%)
1437.TW,20,20,2026-02,-20.17
1439.TW,14,14,2026-02,3.14
1440.TW,4,4,2026-02,-38.99
1441.TW,4,4,2026-02,-47.41
1442.TW,14,14,2026-02,-83.46
1443.TW,20,20,2026-02,-8.02
1444.TW,4,4,2026-02,14.0
1445.TW,4,4,2026-02,-10.8
1446.TW,4,4,2026-02,601.56
1447.TW,4,4,2026-02,0.49
1449.TW,4,4,2026-02,22.2
1451.TW,4,4,2026-02,4.75
1452.TW,4,4,2026-02,-42.09
1453.TW,14,14,2026-02,0.81
1454.TW,4,4,2026-02,-45.37
1455.TW,4,4,2026-02,-50.38
1456.TW,14,14,2026-02,72.48
1457.TW,4,4,2026-02,-38.52
1459.TW,4,4,2026-02,-60.63
1460.TW,4,4,2026-02,-38.31
1463.TW,4,4,2026-02,-90.85
1464.TW,4,4,2026-02,-34.05
1465.TW,4,4,2026-02,26.96
1466.TW,4,4,2026-02,-31.49
1467.TW,4,4,2026-02,-20.47
1468.TW,4,4,2026-02,-60.33
1470.TW,4,4,2026-02,-12.28
1471.TW,28,28,2026-02,-61.11
1472.TW,14,14,2026-02,28.97
1473.TW,4,4,2026-02,-27.67
1474.TW,4,4,2026-02,-40.89
1475.TW,4,4,2026-02,-39.77
1476.TW,4,4,2026-02,-7.36
1477.TW,4,4,2026-02,-1.06
1503.TW,5,5,2026-02,-2.62
1504.TW,5,5,2026-02,-0.16
1506.TW,5,5,2026-02,19.5
1512.TW,12,12,2026-02,77.18
1513.TW,5,5,2026-02,-12.81
1514.TW,5,5,2026-02,14.5
1515.TW,5,5,2026-02,20.37
1516.TW,20,20,2026-02,69.0
1517.TW,5,5,2026-02,-42.15
1519.TW,5,5,2026-02,15.88
1521.TW,12,12,2026-02,-10.14
1522.TW,12,12,2026-02,24.35
1524.TW,12,12,2026-02,-40.85
1525.TW,12,12,2026-02,-9.32
1526.TW,5,5,2026-02,-41.48
1527.TW,5,5,2026-02,-45.82
1528.TW,5,5,2026-02,18.56
1529.TW,5,5,2026-02,-50.54
1530.TW,5,5,2026-02,-23.74
1531.TW,5,5,2026-02,-10.25
1532.TW,5,5,2026-02,16.24
1533.TW,12,12,2026-02,80.74
1535.TW,5,5,2026-02,-2.58
1536.TW,12,12,2026-02,-33.8
1537.TW,5,5,2026-02,8.93
1538.TW,5,5,2026-02,-81.41
1539.TW,5,5,2026-02,-6.54
1540.TW,5,5,2026-02,-24.49
1541.TW,5,5,2026-02,2.42
1558.TW,5,5,2026-02,-15.59
1560.TW,5,5,2026-02,24.35
1563.TW,12,12,2026-02,-12.4
1568.TW,12,12,2026-02,-28.38
1582.TW,28,28,2026-02,-22.88
1583.TW,5,5,2026-02,-23.83
1587.TW,12,12,2026-02,42.77
1589.TW,5,5,2026-02,-17.22
1590.TW,5,5,2026-02,-8.42
1597.TW,5,5,2026-02,18.81
1598.TW,37,37,2026-02,-15.71
1603.TW,6,6,2026-02,-36.93
1604.TW,6,6,2026-02,-5.74
1605.TW,6,6,2026-02,-23.1
1608.TW,6,6,2026-02,24.68
1609.TW,6,6,2026-02,-5.73
1611.TW,6,6,2026-02,-27.79
1612.TW,6,6,2026-02,-20.53
1614.TW,6,6,2026-02,-6.17
1615.TW,6,6,2026-02,-60.7
1616.TW,6,6,2026-02,-22.26
1617.TW,6,6,2026-02,-29.58
1618.TW,6,6,2026-02,-74.19
1623.TW,6,6,2026-02,14.37
1626.TW,6,6,2026-02,-29.42
1702.TW,2,2,2026-02,0.75
1707.TW,22,22,2026-02,-1.35
