Ticker SYMBOL,資料年月日,毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),營業現金流,預估殖利率(%),負債比率(%),本業獲利比(%)
1539.TW,2025-09-30,9.21,2.19,0.34,1.43,6.92,34064000.0,525.0,27.74,25.38
1540.TW,2025-12-31,38.26,24.39,,3.28,53.53,17709000.0,731.0,9.82,36.46
1540.TW,2025-09-30,17.6,1.04,0.41,2.47,30.92,34737000.0,731.0,10.95,2.7
1541.TW,2025-12-31,19.55,7.18,,3.73,10.54,158710000.0,194.0,33.53,59.2
1541.TW,2025-09-30,15.31,5.51,1.1,4.3,9.28,42647000.0,194.0,38.35,51.45
1558.TW,2025-12-31,28.36,6.49,,0.96,5.04,619474000.0,652.0,34.19,52.76
1558.TW,2025-09-30,27.4,11.05,2.24,1.78,6.65,256403000.0,652.0,35.59,83.13
1560.TW,2025-12-31,34.18,15.55,,5.65,22.08,748779000.0,90.0,35.97,57.2
1560.TW,2025-06-30,32.14,16.65,1.8,3.59,12.6,376968000.0,90.0,37.89,104.73
1563.TW,2025-12-31,18.31,3.34,,-0.16,-0.84,314115000.0,546.0,51.82,-348.35
1563.TW,2025-06-30,19.8,8.35,-0.29,-0.74,-3.79,121226000.0,546.0,51.76,-166.68
1568.TW,2025-12-31,34.44,17.18,,2.46,19.16,67910000.0,532.0,14.86,73.31
